Order ID,Customer ID,Product ID,Product Category,Product Subcategory,Order Date,Quantity,Cost Price,Sale Price,Profit
1001,C108,P215,Tops,Blouses,2024-06-18,2,11.09,30.05,37.91
1002,C096,P158,Tops,Blouses,2024-12-28,4,6.05,23.18,68.52
1003,C066,P923,Dresses,Casual,2024-11-26,1,35.67,91.26,55.59
1004,C009,P691,Outerwear,Jackets,2024-09-28,3,53.41,119.41,197.98
1005,C230,P393,Tops,Sweatshirts,2024-03-11,5,15.27,28.18,64.57
1006,C221,P020,Lingerie,Sleepwear,2024-03-11,1,25.98,67.27,41.29
1007,C358,P471,Dresses,Evening,2024-01-28,3,19.64,57.23,112.76
1008,C402,P431,Outerwear,Jackets,2024-12-20,1,28.83,107.45,78.62
1009,C278,P659,Outerwear,Blazers,2024-09-29,2,22.74,101.19,156.89
1010,C099,P997,Outerwear,Blazers,2024-11-16,5,43.68,62.19,92.56
1011,C271,P068,Lingerie,Bras,2024-01-11,3,17.93,41.19,69.79
1012,C263,P077,Outerwear,Coats,2024-12-29,2,52.42,57.75,10.68
1013,C397,P102,Lingerie,Sleepwear,2024-12-16,4,17.63,28.53,43.61
1014,C362,P652,Tops,Sweatshirts,2024-04-06,4,8.85,42.56,134.87
1015,C164,P893,Bottoms,Jeans,2024-03-24,2,27.81,41.65,27.67
1016,C016,P585,Dresses,Casual,2024-03-24,3,24.75,36.23,34.42
1017,C169,P207,Dresses,Evening,2024-05-18,3,38.76,80.33,124.69
1018,C021,P213,Tops,Blouses,2024-08-25,5,13.48,43.08,148.01
1019,C028,P079,Dresses,Maxi,2024-07-14,2,15.27,70.47,110.39
1020,C330,P113,Tops,Blouses,2024-05-12,4,17.91,47.05,116.53
1021,C083,P765,Dresses,Maxi,2024-10-05,2,36.6,89.46,105.73
1022,C273,P133,Dresses,Maxi,2024-03-04,1,24.47,68.69,44.22
1023,C321,P197,Lingerie,Bras,2024-05-12,3,8.52,56.85,144.99
1024,C397,P025,Dresses,Maxi,2024-06-15,1,12.83,53.05,40.21
1025,C036,P472,Lingerie,Bras,2024-07-26,4,15.02,51.81,147.17
1026,C495,P613,Tops,Sweatshirts,2024-12-03,3,16.03,49.19,99.5
1027,C314,P757,Lingerie,Sleepwear,2024-03-31,4,14.62,59.99,181.49
1028,C490,P543,Beachwear,Beach Accessories,2024-08-21,4,10.17,45.6,141.72
1029,C276,P942,Outerwear,Coats,2024-09-25,4,53.94,143.24,357.18
1030,C233,P290,Outerwear,Coats,2024-01-21,5,58.75,132.51,368.82
1031,C104,P256,Dresses,Casual,2024-10-02,4,21.7,32.61,43.63
1032,C436,P937,Beachwear,Beach Accessories,2024-03-18,4,11.61,66.03,217.69
1033,C006,P206,Lingerie,Bras,2024-01-31,1,13.83,68.82,54.99
1034,C023,P475,Lingerie,Bras,2024-12-28,1,23.98,35.89,11.91
1035,C170,P068,Outerwear,Blazers,2024-12-29,1,41.69,77.53,35.84
1036,C152,P215,Bottoms,Skirts,2024-12-14,3,18.45,60.2,125.27
1037,C244,P634,Lingerie,Panties,2024-05-18,5,14.68,25.51,54.11
1038,C241,P422,Tops,T-shirts,2024-02-15,3,7.62,38.62,93.03
1039,C261,P558,Bottoms,Skirts,2024-11-05,5,17.47,37.46,99.96
1040,C416,P581,Dresses,Maxi,2024-07-19,5,25.16,61.61,182.22
1041,C046,P539,Lingerie,Sleepwear,2024-02-25,2,21.46,64.6,86.27
1042,C273,P683,Dresses,Evening,2024-08-11,2,19.34,85.78,132.87
1043,C075,P757,Tops,Blouses,2024-01-17,2,18.56,18.78,0.43
1044,C283,P462,Bottoms,Jeans,2024-12-23,5,20.67,66.88,231.05
1045,C196,P455,Outerwear,Coats,2024-04-27,5,36.21,91.17,274.82
1046,C023,P301,Outerwear,Jackets,2024-10-27,3,43.76,149.44,317.06
1047,C087,P786,Dresses,Maxi,2024-05-21,5,16.69,50.98,171.44
1048,C369,P288,Dresses,Maxi,2024-08-24,4,14.98,62.94,191.83
1049,C121,P761,Outerwear,Blazers,2024-09-05,4,33.86,84.12,201.02
1050,C418,P002,Beachwear,Cover-Ups,2024-03-24,5,10.88,57.24,231.81
1051,C149,P937,Outerwear,Coats,2024-12-29,4,35.1,76.59,165.94
1052,C150,P020,Bottoms,Skirts,2024-11-30,5,24.77,75.2,252.11
1053,C065,P477,Lingerie,Bras,2024-12-27,2,24.24,50.85,53.21
1054,C160,P954,Tops,T-shirts,2024-12-22,5,14.12,47.99,169.39
1055,C446,P491,Bottoms,Jeans,2024-09-28,2,25.21,62.43,74.44
1056,C284,P986,Bottoms,Trousers,2024-12-24,1,28.33,35.22,6.89
